;W1_choke;W1_gas_0;W1_gas_1;W1_gas_2;W1_gas_3;W1_gas_4;W1_gas_5;W1_gas_6;W1_gas_7;W1_gas_8;W1_gas_9;W2_gas_0;W2_gas_1;W2_gas_2;W2_gas_3;W2_gas_4;W2_gas_5;W2_gas_6;W2_gas_7;W2_gas_8;W2_gas_9;W2_choke;W3_gas_0;W3_gas_1;W3_gas_2;W3_gas_3;W3_gas_4;W3_gas_5;W3_gas_6;W3_gas_7;W3_gas_8;W3_gas_9;W3_choke;W4_gas_0;W4_gas_1;W4_gas_2;W4_gas_3;W4_gas_4;W4_gas_5;W4_gas_6;W4_gas_7;W4_gas_8;W4_gas_9;W4_choke;W5_gas_0;W5_gas_1;W5_gas_2;W5_gas_3;W5_gas_4;W5_gas_5;W5_gas_6;W5_gas_7;W5_gas_8;W5_gas_9;W5_choke;W6_gas_0;W6_gas_1;W6_gas_2;W6_gas_3;W6_gas_4;W6_gas_5;W6_gas_6;W6_gas_7;W6_gas_8;W6_gas_9;W6_choke;W7_gas_0;W7_gas_1;W7_gas_2;W7_gas_3;W7_gas_4;W7_gas_5;W7_gas_6;W7_gas_7;W7_gas_8;W7_gas_9;W7_choke
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;10;1260.6698333622467;198.74525276031602;0.0;2524.832099556645;64.94619170219303;1891.179351301181;0.0;651.0072889073459;2171.0369596956807;315.50452336012785;941.8282181414083;2054.4077217751496;2296.8436270020943;0.0;3797.792641145129;34.220767993978875;1594.0773253243703;1154.5432989287574;0.0;0.0;10;3977.687630629565;0.0;1415.6103345101556;0.0;1845.271884639703;2918.621433509739;3754.339379449623;0.0;0.0;7725.759558940816;10;107.44497248487556;300.59150737033224;751.4202949605137;0.0;716.7619090375023;0.0;721.326625819834;0.0;580.8863607792945;229.5316539402338;10;0.0;1375.151139144573;461.5258900724936;2016.3802800884296;0.0;0.0;0.0;0.0;4170.146747698312;2036.9369112938361;10;1066.1702918930132;1890.8984373113346;1021.8911060398433;0.0;0.0;3014.6036265166117;0.0;0.0;7.246262959480532;0.0;10;0.0;0.0;0.0;0.0;4035.2392072752687;0.0;1572.2256433803075;1236.1558847362917;525.8566589208058;441.82371626790683;10
2;20;7281.03587235075;5278.574037187439;1638.873535793389;7286.746986302984;0.0;3841.5494601623896;43.2413631654897;3279.599832575857;0.0;0.0;1580.762958660343;4812.6732291983035;2173.317852448392;1999.6436595321743;5487.321778242667;4525.778162290879;2664.309607550581;6712.57676118106;2962.078671866808;2894.8013192924077;20;3851.807477574965;4786.147873494609;9916.346269519736;18444.006244819604;14635.77470888798;26345.49419881334;23802.214829415112;12681.380603699146;8519.757203264113;11991.719559922643;20;3969.19602613378;2940.589887393717;3961.2726588173873;4426.4671429459995;5139.695138972606;4766.378621259984;4752.878175742215;3079.572221006647;4502.503543381994;3774.944064526864;20;6718.811756485239;3783.2405893144414;9337.377413248847;10668.86308434631;5325.466961813213;2723.3766390769524;6030.612326742996;3411.082935715259;5149.217119283651;5764.554963873858;20;8636.440110367812;9301.817606899454;7736.691244596116;10788.933280763813;10412.962595259929;10403.701037747338;5562.903310844436;8577.10748222089;8705.099368621683;7763.9275372706325;20;6429.227660772023;8261.268801244869;5670.352524703699;5845.548645624498;10295.600178122128;6313.3459831732725;9258.51474110545;2756.1861344512745;6810.874936049395;7112.342052643946;20
3;30;17168.351785952418;5121.651265216455;4375.597774010389;14291.01470202094;6282.4318189419955;4304.864172680429;995.7769137426803;3366.119365813151;205.9709520489869;7356.379864650046;28223.311687198584;29248.254562267583;28363.523822082363;27184.023243228457;29070.083996572983;30827.772341142085;28122.61873405161;31120.69123587402;27217.19542320521;29091.554773338263;30;26588.67609434153;17229.35810194144;19681.69591371186;27092.43450751148;25937.117082258173;27955.98127948795;28847.58123043977;23913.443536178696;24888.912234967007;27045.32380494072;30;25102.94272173913;24015.209694615973;20239.444475494303;21778.399951128027;24894.530442649422;25427.416787451533;24565.52522559732;23400.52863383913;24821.279923940023;26198.268291432796;30;20417.961951924244;23228.440896917047;28343.889067624947;20920.118388195428;20095.23452236548;22128.374454341;21857.600763619907;16942.798276605135;20573.387546090307;20095.77068015261;30;27276.419905458755;23237.015404093218;24909.244338269207;25085.056891246317;26820.71074387353;26949.626801039263;22674.62590104209;27671.939230281496;27605.93634698584;23480.754303225254;30;21836.22782011627;25068.73397537603;27620.786848866715;23777.110060839812;25545.01368259961;26425.159282379234;26572.044455181647;22988.569558484203;23873.895879607135;27035.206517492326;30
4;40;27955.718328170566;19755.293963364704;19074.651440054044;23568.976777317584;18248.345446102117;15089.442205943446;19241.476271103325;17846.058731748242;14756.409046633156;23583.027490132;44909.654350868135;45323.01712328976;45999.81457530538;44218.24337160868;46402.33468226028;48831.56116192399;44396.35866804116;47484.786185537625;44963.106366866035;44840.84596438085;40;50780.87245130227;32674.975619206718;38562.0534349031;42484.1121497929;37361.646484921206;39512.08696573696;41198.2822442737;37855.54925495362;41728.14979298127;40930.85244965862;40;35124.70620088371;30411.75289818001;28672.655421473086;40373.10470365747;42451.84993580169;41584.449065150584;41362.99540472112;31684.611623655386;37161.93163345594;44254.25778364956;40;37135.3169851329;42363.92595287328;45874.45014748161;44002.1260160429;38135.38547913837;37853.03700876415;30323.996593028627;29467.17423012993;47344.325184230154;30086.98838993442;40;41847.99308563388;36669.26829108846;39817.94278297264;40121.57655010892;37786.83556000448;38692.42745730891;36466.520278998905;41336.40260146033;43057.877540763635;38549.63444112544;40;37740.623921970946;37407.57835152518;47773.47788094134;40347.23464646435;44132.70746870997;43564.32176911572;42802.287922809584;39373.7122273978;41491.32275969832;39840.719618299765;40
5;50;41055.15230598088;35639.836459261904;33912.4898027485;38709.14406496234;36081.92189450852;30431.451223860444;31605.211905225337;30560.79246699717;31907.597581733353;38236.33993905906;54890.972007627;55260.23650420512;55577.65633994288;54316.28156420327;55133.83742592031;57208.18002376418;55009.77684175653;57805.62203273911;52065.500450280495;57210.822494521766;50;53715.98785375176;31483.23161551205;50527.87088664457;53502.36511406161;53968.74250635703;48902.434422240374;44257.72834740765;51769.686800193915;53307.59594547035;51337.75916976124;50;48610.84940159036;43856.27530802471;34329.592288643005;48251.502467515915;48428.50306195235;39275.07686789893;44510.68760241231;39380.569832269146;36795.89401206916;40363.036579783206;50;44362.19427667363;51507.28242240588;49405.96408239381;46791.05288137508;43216.75546566934;58841.84477041443;35643.80339426281;33487.482017758564;52908.97483649499;34893.29760338687;50;50815.99410742925;43913.85560083798;45132.839462811084;43989.111618146766;45940.12888432232;44394.969780525214;41997.374051877036;45475.56773382169;46379.367132393156;43810.50866173493;50;46097.68598569567;46355.004893288205;55633.12177882421;51169.34253842021;51567.75424221034;51122.624815976014;52104.45768028221;43394.39823504689;51034.44435444959;47051.58508261767;50
6;60;36983.87039263385;37823.7025493341;39349.70298217922;39077.56223814113;38183.76461445406;38937.7208328237;38157.41771076599;37360.37029585802;37012.53697771765;40305.504664498425;68342.05500855301;65859.35852898662;64610.71197601963;63379.40942545608;61108.567374382226;68396.37255865817;65585.56373142816;65544.14574199117;63271.44113748492;69589.17298035107;60;54088.763896078075;45709.66518967587;50938.904972897246;52079.44036492754;57605.069823936064;54457.26340670105;46014.02015201084;54203.933741656576;56245.98261209452;48602.692096224026;60;52710.912737971536;49532.231976900286;44089.617159433896;51919.02861175483;53907.54005968236;46298.114056334765;49979.72374001828;47878.63506315748;41448.64767083786;47177.60279901125;60;60886.3351571946;61908.72960700574;59928.730107660966;65348.463970953104;53840.99465326789;68208.65147617356;55805.551418535695;55303.6880633354;71250.93159967598;53178.416375104316;60;57573.27601192652;44700.317964310736;48707.589549673634;50064.28345725271;51497.1020306994;47704.99428826375;44358.235174140245;50603.48743418706;52331.212883879445;47693.287313635956;60;59944.90668342572;54690.94388005851;67992.08087108715;62207.22881917157;53793.82152653553;56255.218020074855;53826.886531289914;50324.37609170748;66146.99404989896;61425.10131984376;60
7;70;38963.827627373146;39482.62872458583;39761.07311773025;41222.400145685926;38474.35331278853;41093.87882294713;42962.95391089938;40477.237081655934;39337.48671868659;42523.93547095686;73540.02057353569;74014.66114726428;74806.75999240644;72466.8293804015;72551.74877892097;76583.14084808031;77752.23594586967;71172.62305359796;72297.61410049714;82558.71849573213;70;57461.68637861787;48825.535008444014;58302.84164066513;52239.86754527787;53925.39614144977;59557.6178805988;49974.267708669504;70883.77192380317;52803.074370503935;58469.223009406276;70;65726.7391270135;51539.26339104744;51846.68379704326;51474.06417226872;52439.760564678436;50469.068396362156;57166.721483028094;57570.61564085951;51881.703274869265;58927.040353734905;70;63886.22090842044;75573.18668739162;72832.11676493545;80196.57992888104;74792.23971601314;68255.44465296049;78828.20316139553;67215.11202709969;76878.50982401003;67424.56354836294;70;62412.33489828679;50931.03755919746;54876.506592039725;57244.54902834345;57359.22939516576;51702.56079278913;50541.27252103684;56928.96903977612;55243.30599738119;49680.408293294655;70;65702.62320233509;63462.85435537014;71837.10051838655;65931.60108546424;58909.112370200346;83058.96069078121;60037.93051886861;50558.47878618927;62705.645529546244;71985.59662447457;70
8;80;42332.582762280384;42911.09908177312;41823.957959196414;43412.29842987125;42059.48114479598;43876.974414786644;44220.73656404462;42265.64945698998;42007.64333440353;42912.22530894478;83392.55824278112;81407.69975342383;76573.16662281987;82727.2535777022;85301.49008288389;85494.21492555315;89310.66981829365;81533.02395857015;81877.86001111759;92645.25028489516;80;58117.172609605936;50145.633149365975;65804.78922411925;51500.290060073545;51294.553415620554;59152.99889514287;52545.99555107494;64560.80342782084;52381.72476571461;64404.48881197584;80;85833.52615190466;60219.81996899938;63138.48223924291;68778.6214086631;70274.35928513172;64344.297117397386;56198.80568971356;67821.2933210288;64931.6079802445;73797.59811971622;80;76118.91674793923;80947.9775821811;90610.81393793348;96874.41524917127;94241.19587816467;88909.71767963936;92608.64104900917;71744.5116108148;98000.24789374896;81925.16317258043;80;64624.80407452956;53432.89494682961;59490.79521171839;57766.27926446832;60533.59523181467;57038.941040276026;57836.26863238151;60204.554546172854;56843.68502337033;54690.53617558116;80;75581.58211089441;74751.00362353175;86473.13403255816;79169.99948044612;74934.86693695137;100517.91434740103;83297.89238896893;58594.31680828839;74805.40771300468;81448.9496595379;80
9;90;45041.21334706261;45180.152851912484;44028.75874342334;45044.222981228624;43806.29716887785;46081.3531768876;46123.3797223737;44839.068830017306;43511.10895745288;44236.09940244421;90440.22223940608;91771.4102986443;88087.45250446939;90468.35461635726;92324.9161750635;97644.08394009364;90670.86519042564;90106.20621105793;96034.24796146114;106456.55782655432;90;60258.041925054014;52190.0245635561;69611.1413379163;53049.032298273756;60383.96406447518;55366.67473287088;71029.35116664143;71898.55626268659;50592.73364324883;69532.25675488793;90;94284.52032779188;70251.85469594371;66120.95625228406;91211.54166994973;69468.85082674607;71150.00159384492;63347.1253924819;77438.29614060727;68953.62742639286;76816.49149635767;90;90949.82802082572;84280.09534171186;112586.66805044301;102668.66172988596;124370.22745982713;93275.44771274297;96916.07401019153;91375.87999141592;110603.64950044526;110997.13405642877;90;71968.48947790929;55215.459834090565;61645.58593346912;65203.81270662928;61440.565638170716;61475.492442802286;62601.32268612103;66612.65109045668;64827.63263820852;64284.1502626563;90;96317.88082059809;77766.73046017169;94197.64178278942;82652.77014157717;94402.26391730513;103185.03748602615;93740.47303044183;66329.17086354537;88150.48566120323;83210.17516189473;90
10;100;46607.83817655948;47651.09654951797;47528.62667385865;47048.74298597744;46305.022447900505;47889.04588981452;48004.605018217044;45437.93175340785;45601.26903906987;46250.125937814;102965.02854409069;107442.33750784355;102192.773924184;105254.89470627796;102855.78212179318;109291.32275427977;107607.08093146648;104219.9603608752;104642.89337395244;115037.71584020894;100;86292.54649487582;51462.49533735761;62665.31595697325;58255.87176907813;63892.70875558537;67614.98578260804;49678.24724775781;51115.22454005458;69952.12145102264;90753.35667705146;100;97684.65254303504;75294.79172514733;75109.99694404719;98189.4561904524;84436.02283194027;79510.9075027728;67195.96645755475;72737.12963841313;67717.17554889267;101284.03210906076;100;91584.90725696263;107870.04796471373;120253.53524011251;106760.17829003741;136587.5594474768;102336.21848928297;104014.55699682848;105761.18759893463;113064.11659295912;116846.36888702055;100;69304.89516244679;65132.03920417656;69640.43379162202;66505.65197800954;67373.85220590554;62682.100945607024;66760.87937320926;74480.33741556671;68768.73887948086;69602.75891686525;100;98188.65084376263;92414.07255369454;95357.03657707977;74060.58652008967;81487.94604321255;97069.15682442542;84776.58771972489;83203.91825711509;91291.32328665286;65977.56230998985;100
